Title,Rank,Votes,Score,"Esoteric
Rank","Esoteric
Score",Source,Episodes,Studio,First Air Date,Last Air Date,Genres,AniListID,TMDbID,IMGID
Ai Yori Aoshi,443,1,2,378,1,Manga,36,J.C. Staff,2002-04-10,2003-12-27,"Comedy, Drama, Romance, Slice of Life",53,42567,/sBqJgnOAIJzc8MO6okjlH4ePfJh.jpg
Cardfight Vanguard,443,1,2,378,1,Other,370,TMS Entertainment,2011-01-08,2018-04-01,"Action, Adventure",9539,35442,/dYzXncXjGIo7xuo6HLyDjKL8ayX.jpg
The World God Only Knows,443,1,2,378,1,Manga,36,Manglobe,2010-10-08,2013-09-24,"Comedy, Romance, Supernatural",8525,56351,/4u1PaSbU7ZyY1G1FHRrfI9i761Q.jpg
Space Runaway Ideon,443,1,2,378,1,Original,39,Sunrise,1980-05-08,1981-01-28,"Drama, Mecha, Sci-Fi",930,13465,/oyMVD4MUmJBBW5IZt7anSTcBHQl.jpg
Odd Taxi,443,1,2,378,1,Original,13,OLM,2021-04-06,2021-06-29,"Drama, Mystery, Psychological",128547,116727,/1EjfuzlLayjraY358hB8fSmXCSr.jpg
Skilled Teaser Takagi,443,1,2,378,1,Manga,24,Shin-Ei Animation,2018-01-08,2019-09-22,"Comedy, Romance, Slice of Life",99468,75865,/bZxlIp4s1yLsmIiUN2o1ntijoo6.jpg
Area 88,443,1,2,378,1,Manga,12,Studio Pierrot,2004-01-09,2004-03-26,"Action, Adventure, Drama, Romance",1488,34823,/3p4mr3LiiYUhMhfgljZZcQaW8LQ.jpg
Amagi Brilliant Park,443,1,2,378,1,Light Novel,13,Kyoto Animation,2014-10-07,2014-12-26,"Comedy, Fantasy",20602,65332,/1ZFzedg6kYDBFjZANxcDdERsN08.jpg
Galaxy Express 999,458,1,1,378,1,Manga,113,Toei Animation,1978-09-14,1981-03-12,"Adventure, Drama, Mecha, Sci-Fi",1491,31709,/hSL8OUYK1TRKENMgrgStaY5lqzK.jpg
Kuroko no Basket,458,1,1,378,1,Manga,75,Production I.G,2012-04-08,2015-07-01,"Comedy, Sports",11771,45783,/5CEIm6RPRU9iy4jBpfreUwJkydv.jpg
Tokyo Magnitude 8.0,458,1,1,378,1,Original,11,bones,2009-07-09,2009-09-17,Drama,6211,37866,/ztpq6SVVLrznYJBSATCPSkgT5vo.jpg
Michiko & Hatchin,458,1,1,378,1,Original,22,Manglobe,2008-10-16,2009-03-19,"Action, Adventure",4087,21311,/kKS9CyIduZf8q45wm8WQ5a9RYx1.jpg
Ground Control to Psychoelectric Girl,458,1,1,378,1,Light Novel,12,Shaft,2011-04-15,2011-07-01,"Comedy, Romance, Sci-Fi, Slice of Life",9379,65356,/kUpCLPkNCKqQ7Kc5hgrkNvBx5Sw.jpg
Miss Bernard Said.,458,1,1,378,1,Manga,12,Creators in Pack,2016-10-06,2016-12-22,"Comedy, Slice of Life",21854,68165,/e885TPsX1PnvDNK5WMTlnPiGc7D.jpg
Manyuu Hikenchou,458,1,1,378,1,Manga,12,,2011-07-11,2011-09-26,,,71834,/oQFRm0GPn3Q9lZB2SFklft8gZBt.jpg
Space Adventure Cobra!,458,1,1,378,1,Manga,31,Tokyo Movie Shinsha,1982-10-07,1983-05-19,"Action, Adventure, Sci-Fi",2451,8880,/lsocXzEZv1fqUN5zVqptMvIUEMy.jpg
One Week Friends,458,1,1,378,1,Manga,12,Brain's Base,2014-04-07,2014-06-23,"Comedy, Drama, Romance, Slice of Life",20527,60827,/aRpxKAXCW8yjkE5aZcgZ9aezm4F.jpg
